depto,exento_iva,mas_votado_senado,votantes_senado,ctdad_empresas,visitantes_ext_2021,pasajeros_nacionales
amazonas,si,liberal,22863,834,1064,56264
antioquia,no,democratico,2179147,122346,183433,3110017
arauca,no,democratico,83105,2940,424,74535
atlantico,no,radical,1041804,57542,28428,781367
bogota,no,pacto,2676288,315664,381993,6445466
bolivar,no,conservador,798085,34584,161284,1648049
boyaca,no,verde,481553,13743,2679,0
caldas,no,verde,380843,8834,5060,50659
caqueta,no,conservador,114144,2815,389,42827
casanare,no,democratico,149304,9087,462,69838
cauca,no,pacto,372132,9759,1972,51459
cesar,no,u,407654,14504,1844,124515
choco,no,liberal,143351,4352,483,128190
cordoba,no,u,784048,10799,1894,460576
cundinamarca,no,pacto,970569,41018,12343,0
guania,si,liberal,13195,2,33,19427
guaviare,si,conservador,30285,577,67,7129
huila,no,radical,383814,13996,2129,69858
la guajira,no,u,294730,4169,1558,79229
magdalena,no,radical,535908,11070,10966,1092784
meta,no,liberal,366832,16852,4093,30892
nariño,no,conservador,524627,12102,1918,181136
norte de santander,no,radical,598310,16593,11062,403319
putumayo,no,pacto,84619,3744,354,53455
quindio,no,liberal,214159,5323,8326,113348
risaralda,no,liberal,370000,14358,16557,599142
san andres,si,radical,22271,1743,16176,1058968
santander,no,verde,849439,36848,11574,524314
sucre,no,liberal,457976,7458,949,24689
tolima,no,conservador,494591,14207,4571,20531
valle,no,pacto,1524491,80778,89149,1856210
vaupes,si,u,11398,81,21,10854
vichada,si,conservador,20661,218,105,15463
